Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Quartile Number,Suppression Flag
Uninsured at the Time of Interview,By State,Alabama,Alabama,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,14.1,9.3,20.1,9.3 - 20.1,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Alaska,Alaska,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,17.0,13.4,21.1,13.4 - 21.1,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,Arizona,Arizona,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,16.8,13.5,20.5,13.5 - 20.5,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,Arkansas,Arkansas,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.3,6.9,14.7,6.9 - 14.7,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,California,California,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,9.8,7.6,12.4,7.6 - 12.4,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,Colorado,Colorado,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.6,7.6,14.4,7.6 - 14.4,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,Connecticut,Connecticut,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,7.6,4.0,12.8,4.0 - 12.8,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Delaware,Delaware,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.5,6.8,15.2,6.8 - 15.2,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,District of Columbia,District of Columbia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,7.5,4.5,11.7,4.5 - 11.7,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Florida,Florida,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,15.7,12.8,19.1,12.8 - 19.1,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,Georgia,Georgia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,19.5,16.2,23.1,16.2 - 23.1,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,Hawaii,Hawaii,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,5.8,3.5,8.9,3.5 - 8.9,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Idaho,Idaho,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,11.9,9.0,15.5,9.0 - 15.5,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Illinois,Illinois,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,15.0,10.5,20.5,10.5 - 20.5,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Indiana,Indiana,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,11.9,8.7,15.7,8.7 - 15.7,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Iowa,Iowa,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,5.4,3.6,7.7,3.6 - 7.7,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Kansas,Kansas,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,15.6,11.8,20.0,11.8 - 20.0,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,Kentucky,Kentucky,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.6,7.4,14.5,7.4 - 14.5,8.5 - 10.6,2,
Uninsured at the Time of Interview,By Age,United States,35 - 44 years,3.5,47,"Jun 29 - Jul 11, 2022",06/29/2022,07/11/2022,10.7,9.4,12.1,9.4 - 12.1,,,
Uninsured at the Time of Interview,By State,Louisiana,Louisiana,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,12.9,8.6,18.4,8.6 - 18.4,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Maine,Maine,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,11.9,7.8,17.2,7.8 - 17.2,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Maryland,Maryland,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,6.4,4.8,8.3,4.8 - 8.3,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Massachusetts,Massachusetts,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,5.4,3.3,8.2,3.3 - 8.2,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Michigan,Michigan,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,8.9,6.2,12.2,6.2 - 12.2,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,Minnesota,Minnesota,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,6.0,3.6,9.3,3.6 - 9.3,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Mississippi,Mississippi,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.9,16.2,28.7,16.2 - 28.7,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,Missouri,Missouri,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,17.9,13.7,22.9,13.7 - 22.9,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,Montana,Montana,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,9.7,6.4,14.1,6.4 - 14.1,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,Nebraska,Nebraska,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.9,7.5,15.1,7.5 - 15.1,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Nevada,Nevada,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,15.5,8.9,24.2,8.9 - 24.2,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,New Hampshire,New Hampshire,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,9.8,7.1,13.2,7.1 - 13.2,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,New Jersey,New Jersey,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,8.6,6.0,12.0,6.0 - 12.0,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,New Mexico,New Mexico,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.0,6.5,14.7,6.5 - 14.7,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,New York,New York,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,9.0,6.2,12.4,6.2 - 12.4,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,North Carolina,North Carolina,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,11.6,8.5,15.5,8.5 - 15.5,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,North Dakota,North Dakota,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,7.5,5.0,10.8,5.0 - 10.8,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Ohio,Ohio,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,12.2,8.7,16.5,8.7 - 16.5,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Oklahoma,Oklahoma,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,20.1,15.3,25.6,15.3 - 25.6,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,Oregon,Oregon,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,8.2,5.7,11.3,5.7 - 11.3,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Pennsylvania,Pennsylvania,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,7.3,5.2,9.8,5.2 - 9.8,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Rhode Island,Rhode Island,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,5.5,3.1,8.9,3.1 - 8.9,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,South Carolina,South Carolina,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,15.4,11.3,20.3,11.3 - 20.3,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,South Dakota,South Dakota,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.7,6.1,16.8,6.1 - 16.8,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Tennessee,Tennessee,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,17.4,13.4,22.0,13.4 - 22.0,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,Texas,Texas,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.4,20.6,28.6,20.6 - 28.6,15.3 - 24.4,4,
Uninsured at the Time of Interview,By State,Utah,Utah,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.3,7.4,13.7,7.4 - 13.7,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,Vermont,Vermont,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.8,6.9,16.0,6.9 - 16.0,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Virginia,Virginia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,7.9,5.8,10.4,5.8 - 10.4,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,Washington,Washington,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,7.4,5.6,9.6,5.6 - 9.6,5.4 - 8.4,1,
Uninsured at the Time of Interview,By State,West Virginia,West Virginia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.8,7.3,15.3,7.3 - 15.3,10.7 - 15.2,3,
Uninsured at the Time of Interview,By State,Wisconsin,Wisconsin,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,9.3,6.0,13.5,6.0 - 13.5,8.5 - 10.6,2,
Uninsured at the Time of Interview,By State,Wyoming,Wyoming,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,16.4,12.3,21.2,12.3 - 21.2,15.3 - 24.4,4,
Public Health Insurance Coverage,National Estimate,United States,United States,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,22.1,21.5,22.8,21.5 - 22.8,,,
Public Health Insurance Coverage,By Age,United States,18 - 24 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,19.5,15.4,24.3,15.4 - 24.3,,,
Public Health Insurance Coverage,By Age,United States,25 - 34 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,23.2,21.7,24.8,21.7 - 24.8,,,
Public Health Insurance Coverage,By Age,United States,35 - 44 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,22.9,21.6,24.2,21.6 - 24.2,,,
Public Health Insurance Coverage,By Age,United States,45 - 64 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.5,20.5,22.6,20.5 - 22.6,,,
Public Health Insurance Coverage,By Sex,United States,Male,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,18.6,17.5,19.8,17.5 - 19.8,,,
Public Health Insurance Coverage,By Sex,United States,Female,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,25.6,24.7,26.5,24.7 - 26.5,,,
Public Health Insurance Coverage,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.7,22.6,26.9,22.6 - 26.9,,,
Public Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,18.9,18.1,19.8,18.1 - 19.8,,,
Public Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,33.5,31.0,36.0,31.0 - 36.0,,,
Public Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,17.1,14.1,20.5,14.1 - 20.5,,,
Public Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,29.1,24.8,33.7,24.8 - 33.7,,,
Public Health Insurance Coverage,By Education,United States,Less than a high school diploma,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,40.7,35.8,45.7,35.8 - 45.7,,,
Public Health Insurance Coverage,By Education,United States,High school diploma or GED,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.1,25.6,28.6,25.6 - 28.6,,,
Public Health Insurance Coverage,By Education,United States,Some college/Associate's degree,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.7,23.6,25.8,23.6 - 25.8,,,
Public Health Insurance Coverage,By Education,United States,Bachelor's degree or higher,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,10.6,10.1,11.2,10.1 - 11.2,,,
Public Health Insurance Coverage,By State,Alabama,Alabama,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.6,17.4,26.3,17.4 - 26.3,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,Alaska,Alaska,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.6,21.3,28.2,21.3 - 28.2,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Arizona,Arizona,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,22.2,18.5,26.3,18.5 - 26.3,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Arkansas,Arkansas,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,34.7,29.5,40.3,29.5 - 40.3,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,California,California,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.2,24.3,30.2,24.3 - 30.2,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,Colorado,Colorado,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,23.5,19.9,27.3,19.9 - 27.3,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Connecticut,Connecticut,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.8,17.8,26.1,17.8 - 26.1,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,Delaware,Delaware,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.4,17.6,25.5,17.6 - 25.5,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,District of Columbia,District of Columbia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,25.1,21.4,29.1,21.4 - 29.1,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,Florida,Florida,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,19.4,16.4,22.6,16.4 - 22.6,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Georgia,Georgia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,18.6,14.6,23.2,14.6 - 23.2,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Hawaii,Hawaii,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,20.8,14.9,27.7,14.9 - 27.7,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,Idaho,Idaho,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.1,17.9,24.5,17.9 - 24.5,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,Illinois,Illinois,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,17.9,15.0,21.2,15.0 - 21.2,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Indiana,Indiana,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,20.6,16.0,25.9,16.0 - 25.9,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,Iowa,Iowa,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,23.0,18.7,27.9,18.7 - 27.9,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Kansas,Kansas,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,16.5,12.9,20.6,12.9 - 20.6,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Kentucky,Kentucky,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,29.4,25.4,33.6,25.4 - 33.6,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,Louisiana,Louisiana,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,29.3,24.7,34.3,24.7 - 34.3,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,Maine,Maine,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,19.6,16.1,23.4,16.1 - 23.4,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,Maryland,Maryland,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,26.4,23.1,29.9,23.1 - 29.9,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,Massachusetts,Massachusetts,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,20.1,16.5,24.2,16.5 - 24.2,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,Michigan,Michigan,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,28.9,25.2,32.7,25.2 - 32.7,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,Minnesota,Minnesota,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,22.8,19.2,26.7,19.2 - 26.7,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Mississippi,Mississippi,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,22.9,18.2,28.2,18.2 - 28.2,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Missouri,Missouri,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,19.1,16.1,22.4,16.1 - 22.4,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Montana,Montana,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.1,22.2,32.5,22.2 - 32.5,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,Nebraska,Nebraska,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,14.1,10.9,17.9,10.9 - 17.9,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Nevada,Nevada,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.9,20.0,30.2,20.0 - 30.2,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,New Hampshire,New Hampshire,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,19.6,16.0,23.7,16.0 - 23.7,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,New Jersey,New Jersey,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,20.7,17.1,24.8,17.1 - 24.8,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,New Mexico,New Mexico,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,41.6,35.3,48.1,35.3 - 48.1,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,New York,New York,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,25.2,21.1,29.8,21.1 - 29.8,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,North Carolina,North Carolina,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.3,16.5,26.8,16.5 - 26.8,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,North Dakota,North Dakota,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,16.0,11.6,21.2,11.6 - 21.2,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Ohio,Ohio,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.9,21.2,28.9,21.2 - 28.9,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Oklahoma,Oklahoma,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,18.1,14.1,22.6,14.1 - 22.6,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Oregon,Oregon,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.9,21.1,29.0,21.1 - 29.0,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Pennsylvania,Pennsylvania,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.7,20.1,29.8,20.1 - 29.8,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Rhode Island,Rhode Island,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,25.7,20.8,31.0,20.8 - 31.0,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,South Carolina,South Carolina,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,19.9,15.9,24.3,15.9 - 24.3,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,South Dakota,South Dakota,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,16.7,12.0,22.3,12.0 - 22.3,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Tennessee,Tennessee,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,23.7,19.7,28.2,19.7 - 28.2,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Texas,Texas,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,13.4,11.1,16.0,11.1 - 16.0,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Utah,Utah,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,12.2,9.6,15.2,9.6 - 15.2,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Vermont,Vermont,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.8,20.2,29.8,20.2 - 29.8,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Virginia,Virginia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,19.0,15.8,22.6,15.8 - 22.6,12.2 - 19.5,1,
Public Health Insurance Coverage,By State,Washington,Washington,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.3,18.3,24.5,18.3 - 24.5,19.6 - 21.8,2,
Public Health Insurance Coverage,By State,West Virginia,West Virginia,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,27.3,22.3,32.7,22.3 - 32.7,25.0 - 41.6,4,
Public Health Insurance Coverage,By State,Wisconsin,Wisconsin,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.9,18.7,25.4,18.7 - 25.4,21.9 - 24.9,3,
Public Health Insurance Coverage,By State,Wyoming,Wyoming,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,13.1,9.4,17.7,9.4 - 17.7,12.2 - 19.5,1,
Private Health Insurance Coverage,National Estimate,United States,United States,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,75.4,74.7,76.2,74.7 - 76.2,,,
Private Health Insurance Coverage,By Age,United States,18 - 24 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,70.9,66.9,74.6,66.9 - 74.6,,,
Private Health Insurance Coverage,By Age,United States,25 - 34 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,69.6,67.9,71.2,67.9 - 71.2,,,
Private Health Insurance Coverage,By Age,United States,35 - 44 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,75.7,74.2,77.2,74.2 - 77.2,,,
Private Health Insurance Coverage,By Age,United States,45 - 64 years,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,79.7,78.7,80.7,78.7 - 80.7,,,
Private Health Insurance Coverage,By Sex,United States,Male,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,76.7,75.3,78.1,75.3 - 78.1,,,
Private Health Insurance Coverage,By Sex,United States,Female,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,74.2,73.2,75.1,73.2 - 75.1,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,65.5,63.1,67.9,63.1 - 67.9,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,80.1,79.3,81.0,79.3 - 81.0,,,
Private Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,66.1,63.1,69.0,63.1 - 69.0,,,
