"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3672828","2020","CT","Connecticut","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","82.3","","","81.0","83.5","7280","Overall","Overall","ADDEPEV3","9","9","","","","","",""
"3697685","2020","DE","Delaware","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.6","","","14.0","17.1","654","Overall","Overall","ADDEPEV3","10","10","","","","","",""
"3694501","2020","DE","Delaware","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","84.4","","","82.9","86.0","3356","Overall","Overall","ADDEPEV3","10","10","","","","","",""
"3693739","2020","DC","District of Columbia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.8","","","17.9","21.7","621","Overall","Overall","ADDEPEV3","11","11","","","","","",""
"3688170","2020","DC","District of Columbia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","80.2","","","78.3","82.1","2789","Overall","Overall","ADDEPEV3","11","11","","","","","",""
"3693895","2020","FL","Florida","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","14.7","","","13.4","16.0","2038","Overall","Overall","ADDEPEV3","12","12","","","","","",""
"3689623","2020","FL","Florida","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","85.3","","","84.0","86.6","9708","Overall","Overall","ADDEPEV3","12","12","","","","","",""
"3689399","2020","GA","Georgia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.2","","","15.9","18.5","1618","Overall","Overall","ADDEPEV3","13","13","","","","","",""
"3686059","2020","GA","Georgia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","82.8","","","81.5","84.1","7422","Overall","Overall","ADDEPEV3","13","13","","","","","",""
"3704988","2020","HI","Hawaii","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","12.7","","","11.7","13.7","1098","Overall","Overall","ADDEPEV3","14","14","","","","","",""
"3704254","2020","HI","Hawaii","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","87.3","","","86.3","88.3","6637","Overall","Overall","ADDEPEV3","14","14","","","","","",""
"3712091","2020","ID","Idaho","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.9","","","17.4","20.3","1058","Overall","Overall","ADDEPEV3","15","15","","","","","",""
"3698831","2020","ID","Idaho","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","81.1","","","79.7","82.6","4889","Overall","Overall","ADDEPEV3","15","15","","","","","",""
"3701520","2020","IL","Illinois","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","14.7","","","13.1","16.3","509","Overall","Overall","ADDEPEV3","16","16","","","","","",""
"3704168","2020","IL","Illinois","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","85.3","","","83.7","86.9","3150","Overall","Overall","ADDEPEV3","16","16","","","","","",""
"3713582","2020","IN","Indiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.9","","","20.8","23.0","1753","Overall","Overall","ADDEPEV3","17","17","","","","","",""
"3714012","2020","IN","Indiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","78.1","","","77.0","79.2","6682","Overall","Overall","ADDEPEV3","17","17","","","","","",""
"3714991","2020","IA","Iowa","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.4","","","16.5","18.3","1541","Overall","Overall","ADDEPEV3","18","18","","","","","",""
"3725396","2020","IA","Iowa","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","82.6","","","81.7","83.5","8065","Overall","Overall","ADDEPEV3","18","18","","","","","",""
"3724266","2020","KS","Kansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.2","","","18.2","20.2","1820","Overall","Overall","ADDEPEV3","19","19","","","","","",""
"3720770","2020","KS","Kansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","80.8","","","79.8","81.8","8655","Overall","Overall","ADDEPEV3","19","19","","","","","",""
"3716543","2020","KY","Kentucky","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.2","","","22.5","25.9","918","Overall","Overall","ADDEPEV3","20","20","","","","","",""
"3723907","2020","KY","Kentucky","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","75.8","","","74.1","77.5","3000","Overall","Overall","ADDEPEV3","20","20","","","","","",""
"3742188","2020","LA","Louisiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.5","","","21.8","25.2","1089","Overall","Overall","ADDEPEV3","21","21","","","","","",""
"3731279","2020","LA","Louisiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","76.5","","","74.8","78.2","3633","Overall","Overall","ADDEPEV3","21","21","","","","","",""
"3739205","2020","ME","Maine","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.1","","","20.8","23.3","2271","Overall","Overall","ADDEPEV3","22","22","","","","","",""
"3733017","2020","ME","Maine","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","77.9","","","76.7","79.2","8664","Overall","Overall","ADDEPEV3","22","22","","","","","",""
"3740223","2020","MD","Maryland","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.7","","","14.9","16.6","2299","Overall","Overall","ADDEPEV3","23","23","","","","","",""
"3740247","2020","MD","Maryland","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","84.3","","","83.4","85.1","11903","Overall","Overall","ADDEPEV3","23","23","","","","","",""
"3750406","2020","MA","Massachusetts","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.9","","","16.7","19.2","1233","Overall","Overall","ADDEPEV3","24","24","","","","","",""
"3751762","2020","MA","Massachusetts","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","82.1","","","80.8","83.3","5894","Overall","Overall","ADDEPEV3","24","24","","","","","",""
"3748178","2020","MI","Michigan","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.6","","","18.3","20.8","1385","Overall","Overall","ADDEPEV3","25","25","","","","","",""
"3755680","2020","MI","Michigan","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","80.4","","","79.2","81.7","5852","Overall","Overall","ADDEPEV3","25","25","","","","","",""
"3753026","2020","MN","Minnesota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.8","","","19.0","20.6","3249","Overall","Overall","ADDEPEV3","26","26","","","","","",""
"3747589","2020","MN","Minnesota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","80.2","","","79.4","81.0","12532","Overall","Overall","ADDEPEV3","26","26","","","","","",""
"3752727","2020","MS","Mississippi","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.9","","","19.5","22.2","1224","Overall","Overall","ADDEPEV3","27","27","","","","","",""
"3754154","2020","MS","Mississippi","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","79.1","","","77.8","80.5","5219","Overall","Overall","ADDEPEV3","27","27","","","","","",""
"3770009","2020","MO","Missouri","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.8","","","21.6","24.0","1975","Overall","Overall","ADDEPEV3","28","28","","","","","",""
"3758250","2020","MO","Missouri","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","77.2","","","76.0","78.4","7187","Overall","Overall","ADDEPEV3","28","28","","","","","",""
"3764483","2020","MT","Montana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.6","","","21.2","23.9","1310","Overall","Overall","ADDEPEV3","29","29","","","","","",""
"3768166","2020","MT","Montana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","77.4","","","76.1","78.8","4973","Overall","Overall","ADDEPEV3","29","29","","","","","",""
"3757427","2020","NE","Nebraska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.8","","","15.8","17.7","2304","Overall","Overall","ADDEPEV3","30","30","","","","","",""
"3767677","2020","NE","Nebraska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","83.2","","","82.3","84.2","12444","Overall","Overall","ADDEPEV3","30","30","","","","","",""
"3782010","2020","NV","Nevada","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.6","","","15.5","19.6","447","Overall","Overall","ADDEPEV3","31","31","","","","","",""
"3775257","2020","NV","Nevada","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","82.4","","","80.4","84.5","2024","Overall","Overall","ADDEPEV3","31","31","","","","","",""
"3774517","2020","NH","New Hampshire","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.4","","","20.0","22.9","1285","Overall","Overall","ADDEPEV3","32","32","","","","","",""
"3778586","2020","NH","New Hampshire","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","78.6","","","77.1","80.0","5126","Overall","Overall","ADDEPEV3","32","32","","","","","",""
"3785434","2020","NJ","New Jersey","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.2","","","14.4","16.1","1832","Overall","Overall","ADDEPEV3","33","33","","","","","",""
"3782366","2020","NJ","New Jersey","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","84.8","","","83.9","85.6","9480","Overall","Overall","ADDEPEV3","33","33","","","","","",""
"3781933","2020","NM","New Mexico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.6","","","16.1","19.1","1207","Overall","Overall","ADDEPEV3","34","34","","","","","",""
"3773054","2020","NM","New Mexico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","82.4","","","80.9","83.9","5777","Overall","Overall","ADDEPEV3","34","34","","","","","",""
"3788806","2020","NY","New York","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.8","","","15.9","17.6","2559","Overall","Overall","ADDEPEV3","35","35","","","","","",""
"3799054","2020","NY","New York","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","83.2","","","82.4","84.1","12102","Overall","Overall","ADDEPEV3","35","35","","","","","",""
"3790301","2020","NC","North Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.8","","","19.5","22.2","1201","Overall","Overall","ADDEPEV3","36","36","","","","","",""
"3794491","2020","NC","North Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","79.2","","","77.8","80.5","4616","Overall","Overall","ADDEPEV3","36","36","","","","","",""
"3787675","2020","ND","North Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.2","","","17.5","21.0","708","Overall","Overall","ADDEPEV3","37","37","","","","","",""
"3791348","2020","ND","North Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","80.8","","","79.0","82.5","3746","Overall","Overall","ADDEPEV3","37","37","","","","","",""
"3811340","2020","OH","Ohio","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.0","","","21.0","23.0","3242","Overall","Overall","ADDEPEV3","38","38","","","","","",""
"3803687","2020","OH","Ohio","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","78.0","","","77.0","79.0","11350","Overall","Overall","ADDEPEV3","38","38","","","","","",""
"3806725","2020","OK","Oklahoma","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.9","","","21.4","24.3","1129","Overall","Overall","ADDEPEV3","39","39","","","","","",""
"3807982","2020","OK","Oklahoma","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","77.1","","","75.7","78.6","3882","Overall","Overall","ADDEPEV3","39","39","","","","","",""
"3807566","2020","OR","Oregon","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.2","","","19.9","22.4","1152","Overall","Overall","ADDEPEV3","40","40","","","","","",""
"3801613","2020","OR","Oregon","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","78.8","","","77.6","80.1","4228","Overall","Overall","ADDEPEV3","40","40","","","","","",""
"3813460","2020","PA","Pennsylvania","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.2","","","18.8","21.7","1108","Overall","Overall","ADDEPEV3","41","41","","","","","",""
"3806841","2020","PA","Pennsylvania","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","79.8","","","78.3","81.2","4412","Overall","Overall","ADDEPEV3","41","41","","","","","",""
"3816175","2020","RI","Rhode Island","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.1","","","19.4","22.8","1135","Overall","Overall","ADDEPEV3","42","42","","","","","",""
"3816779","2020","RI","Rhode Island","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","78.9","","","77.2","80.6","4213","Overall","Overall","ADDEPEV3","42","42","","","","","",""
"3815190","2020","SC","South Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.4","","","19.7","23.0","808","Overall","Overall","ADDEPEV3","43","43","","","","","",""
"3820547","2020","SC","South Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","78.6","","","77.0","80.3","3188","Overall","Overall","ADDEPEV3","43","43","","","","","",""
"3824601","2020","SD","South Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.1","","","14.0","18.2","949","Overall","Overall","ADDEPEV3","44","44","","","","","",""
"3815207","2020","SD","South Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","83.9","","","81.8","86.0","5946","Overall","Overall","ADDEPEV3","44","44","","","","","",""
"3836087","2020","TN","Tennessee","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.1","","","22.4","25.8","1152","Overall","Overall","ADDEPEV3","45","45","","","","","",""
"3836944","2020","TN","Tennessee","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","75.9","","","74.2","77.6","3489","Overall","Overall","ADDEPEV3","45","45","","","","","",""
"3842173","2020","TX","Texas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.3","19.0","2215","Overall","Overall","ADDEPEV3","46","46","","","","","",""
"3837830","2020","TX","Texas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","82.3","","","81.0","83.7","8753","Overall","Overall","ADDEPEV3","46","46","","","","","",""
"3837900","2020","UT","Utah","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.1","","","22.1","24.2","2398","Overall","Overall","ADDEPEV3","47","47","","","","","",""
"3838783","2020","UT","Utah","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","76.9","","","75.8","77.9","8463","Overall","Overall","ADDEPEV3","47","47","","","","","",""
"3848051","2020","VT","Vermont","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.3","","","21.6","25.0","1443","Overall","Overall","ADDEPEV3","48","48","","","","","",""
"3851265","2020","VT","Vermont","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","76.7","","","75.0","78.4","5068","Overall","Overall","ADDEPEV3","48","48","","","","","",""
"3844001","2020","VA","Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.2","","","16.2","18.3","1670","Overall","Overall","ADDEPEV3","49","49","","","","","",""
"3848872","2020","VA","Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","82.8","","","81.7","83.8","7820","Overall","Overall","ADDEPEV3","49","49","","","","","",""
"3844397","2020","WA","Washington","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.4","","","22.5","24.4","3027","Overall","Overall","ADDEPEV3","50","50","","","","","",""
"3852578","2020","WA","Washington","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","76.6","","","75.6","77.5","9810","Overall","Overall","ADDEPEV3","50","50","","","","","",""
"3850149","2020","WV","West Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","26.4","","","25.0","27.8","1530","Overall","Overall","ADDEPEV3","51","51","","","","","",""
"3853286","2020","WV","West Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","73.6","","","72.2","75.0","4325","Overall","Overall","ADDEPEV3","51","51","","","","","",""
"3857875","2020","WI","Wisconsin","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.8","","","18.2","21.4","913","Overall","Overall","ADDEPEV3","52","52","","","","","",""
"3869830","2020","WI","Wisconsin","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","80.2","","","78.6","81.8","4165","Overall","Overall","ADDEPEV3","52","52","","","","","",""
"3869988","2020","WY","Wyoming","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.3","","","16.6","20.0","709","Overall","Overall","ADDEPEV3","53","53","","","","","",""
"3865619","2020","WY","Wyoming","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","81.7","","","80.0","83.4","4082","Overall","Overall","ADDEPEV3","53","53","","","","","",""
"3859076","2020","GU","Guam","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","9.1","","","6.9","11.2","205","Overall","Overall","ADDEPEV3","56","56","","","","","",""
"3863334","2020","GU","Guam","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","90.9","","","88.8","93.1","1968","Overall","Overall","ADDEPEV3","56","56","","","","","",""
"3871844","2020","PR","Puerto Rico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.3","","","13.8","16.8","785","Overall","Overall","ADDEPEV3","60","60","","","","","",""
"3875731","2020","PR","Puerto Rico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","BRFSS","%","Crude Prevalence","84.7","","","83.2","86.2","4151","Overall","Overall","ADDEPEV3","60","60","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","Datasource","","Behavioral Risk Factor Surveillance System","http://www.cdc.gov/brfss","BRFSS","CDC"
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","%","Percent","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","CI","95% Confidence Interval","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","n","“Sample Size”. Translates to the number of adult respondents who answered this question, or were assigned to this category based on question responses for a calculated variable, or the number of states included for a median.","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","N/A","Translates to no data available for a record.","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","No Data","Translates to no data available for record.","","",""
"","","","","","","","","","","","","","","","","","","","","","","SuggestedCitation","","Centers for Disease Control and Prevention, National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health. BRFSS Prevalence & Trends Data [online]. 2015.","https://www.cdc.gov/brfss/brfssprevalence/","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Prevalence Data and Data Analysis Tools","/brfss/data_tools.htm","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Behavioral Risk Factor Surveillance System (BRFSS)","/brfss/index.html","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Division of Population Health","/nccdphp/dph/index.html","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Survey Data & Documentation","/brfss/data_documentation/index.htm","",""
